County,State,Number_Counties,Population_Size,Population_Density,Poverty,White,Black,Native_American,Asian,Hispanic
Perry,MO,42,18571,39,9.6,98.4,0.2,0.3,0.8,0.8
Pettis,MO,22,40121,59,12.8,94.2,3,0.6,0.6,6
Phelps,MO,37,42125,63,14.1,94,1.9,0.5,2.1,1.6
Pike,MO,57,18762,28,14.3,90.4,8.6,0.3,0.2,2.5
Platte,MO,26,82085,195,5.5,91.9,4.4,0.4,1.9,3.9
Polk,MO,35,28892,45,15,97.4,0.5,0.7,0.5,1.7
Pulaski,MO,41,44187,81,12.3,80.8,12.6,0.9,2.7,6.4
Putnam,MO,37,5168,10,13.8,99.7,0,0,0.2,0.6
Ralls,MO,62,9761,21,9,98.4,1.1,0.1,0.1,0.6
Randolph,MO,30,25336,53,13.5,91.5,6.8,0.3,0.5,1.5
Ray,MO,35,24101,42,8.4,97,1.5,0.3,0.2,1.3
Reynolds,MO,30,6585,8,18.1,96.9,0.7,0.8,0.1,0.9
Ripley,MO,37,13851,22,19.1,97.1,0.1,1.3,0.4,1.3
"St. Charles",MO,36,329940,589,4.9,93.5,3.5,0.2,1.5,2
"St. Clair",MO,37,9686,14,16.7,97.9,0.4,0.5,0.5,1
"Ste. Genevieve",MO,35,18198,36,8.8,98.2,1,0.3,0.2,0.7
"St. Francois",MO,35,61661,137,14.3,95.2,3.2,0.4,0.5,1
"St. Louis",MO,34,1004666,1978,8.6,74.3,21.3,0.2,2.9,1.7
Saline,MO,32,23075,31,13.3,92.5,5.4,0.4,0.6,5.7
Schuyler,MO,32,4308,14,13.6,98.8,0,0.1,0.2,0.7
Scotland,MO,37,4928,11,13,99.4,0.2,0,0.2,0.8
Scott,MO,41,41143,98,14.6,87.2,11.6,0.2,0.3,1.3
Shannon,MO,30,8367,8,21.1,95.7,0.2,1.6,0.1,1
Shelby,MO,32,6744,13,13.5,98.3,1.1,0.3,0.2,0.7
Stoddard,MO,35,29714,36,14.9,97.5,1.2,0.3,0.1,1
Stone,MO,57,30931,67,12.7,97.7,0.3,0.7,0.3,1.6
Sullivan,MO,32,6907,11,14.7,98.5,0.8,0.3,0.2,11.7
Taney,MO,57,42985,68,13.2,96.7,0.9,0.7,0.6,3.1
Texas,MO,37,24614,21,18.4,94.5,2.4,1,0.3,1.1
Vernon,MO,57,20441,25,15,97.2,0.8,0.7,0.5,1.4
Warren,MO,35,28764,67,9.1,96.3,2.3,0.3,0.2,2.1
Washington,MO,34,24032,32,18.3,95.5,2.7,0.7,0.2,1
Wayne,MO,37,13097,17,19.9,97.6,0.4,0.4,0.2,0.5
Webster,MO,41,34745,59,13.9,96.9,1.2,0.7,0.3,1.2
Worth,MO,37,2174,8,13.2,98.7,0.6,0.5,0,0.3
Wright,MO,38,18306,27,18.7,97.9,0.5,0.6,0.2,1.1
"St. Louis City",MO,25,344362,5561,21.3,45.6,50.7,0.3,2.1,2.4
Beaverhead,MT,29,8773,2,15.7,97.4,0.2,1.6,0.2,3.3
"Big Horn",MT,38,13149,3,24,35.8,0.1,61.4,0.4,4.1
Blaine,MT,38,6629,2,22.2,50.4,0.3,48,0.2,1.5
Broadwater,MT,25,4517,4,13,97.9,0.4,1.2,0.2,1.4
Carbon,MT,52,9902,5,11.2,98.4,0.2,0.6,0.3,2
Carter,MT,52,1320,0,12.2,99.2,0.1,0.4,0.3,0.7
Cascade,MT,37,79569,29,13.9,91.1,1.2,4.6,0.8,2.6
Chouteau,MT,37,5463,1,15,84.1,0.1,15.5,0.3,0.7
Custer,MT,52,11267,3,13.9,97.4,0.1,1.5,0.4,1.7
Daniels,MT,58,1836,1,11.9,97.2,0.2,1.4,0.5,1.7
Dawson,MT,52,8688,4,12.7,98,0.3,1.4,0.1,1.3
"Deer Lodge",MT,37,8948,12,14.8,95.5,0.3,2.4,0.4,1.9
Fallon,MT,37,2717,2,9.7,98.8,0.2,0.6,0.4,0.6
Fergus,MT,52,11551,3,14.9,96.8,0.1,1.7,0.3,1
Flathead,MT,37,83172,16,12.6,96.7,0.3,1.2,0.5,1.8
Gallatin,MT,37,78210,30,11.5,96.6,0.4,1,0.9,2.2
Garfield,MT,37,1199,0,11.6,98.6,0.1,1.2,0.2,0.4
Glacier,MT,38,13552,5,25.6,34.5,0.1,63.3,0.1,2
"Golden Valley",MT,32,1159,1,17.9,98.2,0,1.4,0.2,1.4
Granite,MT,32,2965,2,14.9,97.3,0,1.2,0.2,1.3
Hill,MT,38,16304,6,18.1,78.4,0.2,19.3,0.3,1.7
Jefferson,MT,43,11170,7,9.2,96.7,0.2,1.4,0.4,1.7
"Judith Basin",MT,52,2198,1,16.2,99.1,0,0.4,0,0.8
Lake,MT,23,28297,19,19.1,73.1,0.3,23.5,0.3,3
"Lewis and Clark",MT,37,58449,17,11.7,95.6,0.3,2.1,0.6,1.7
Liberty,MT,37,2003,1,13.7,99.5,0,0.1,0.4,0.2
Lincoln,MT,29,19193,5,18.3,96.2,0.2,1.5,0.4,1.8
